category,city,n_cells,n_vars,n_rows,status,stop_reason,gap_target,achieved_gap,hit_time_limit,dual_bound,objective_net_rev,baseline_hold_net_rev,nodes,solve_time_s,budget_wk,n_held_cells
Indian Sweets,Bangalore,6,504.0,402.0,0,target_gap_hit,0.01,0.0,False,-457807.0,457807.0,454508.0,1.0,0.03,4576.0,0.0
Indian Sweets,Chennai,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-93880.0,93880.0,92738.0,1.0,0.03,938.0,0.0
Indian Sweets,Delhi-NCR,5,420.0,339.0,0,target_gap_hit,0.01,0.0,False,-164893.0,164893.0,163717.0,1.0,0.03,1648.0,0.0
Indian Sweets,Hyderabad,6,504.0,402.0,0,target_gap_hit,0.01,0.0,False,-469269.0,469269.0,459510.0,1.0,0.03,4690.0,0.0
Indian Sweets,Kolkata,4,336.0,276.0,0,target_gap_hit,0.01,0.0,False,-68476.0,68476.0,68492.0,1.0,0.02,685.0,0.0
Indian Sweets,Mumbai,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-79112.0,79112.0,78646.0,1.0,0.01,791.0,0.0
Indian Sweets,Others,5,420.0,339.0,0,target_gap_hit,0.01,0.0,False,-582636.0,582636.0,579550.0,1.0,0.03,5823.0,0.0
Indian Sweets,Pune,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-71091.0,71091.0,69615.0,1.0,0.02,710.0,0.0
Jaggery,Ahmedabad,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-107621.0,107621.0,103046.0,1.0,0.01,1039.0,0.0
Jaggery,Bangalore,2,,,-1,"build_failed: ufunc 'isfinite' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''",,,,,,,,0.0,,
Jaggery,Chandigarh Tricity,1,,,-1,"build_failed: ufunc 'isfinite' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''",,,,,,,,0.0,,
Jaggery,Chennai,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-152768.0,152768.0,149121.0,1.0,0.01,1484.0,0.0
Jaggery,Delhi-NCR,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-600730.0,600730.0,573291.0,1.0,0.02,5804.0,0.0
Jaggery,Hyderabad,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-476001.0,476001.0,457535.0,1.0,0.01,4620.0,0.0
Jaggery,Kolkata,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-789756.0,789756.0,770905.0,1.0,0.0,7662.0,0.0
Jaggery,Lucknow,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-64991.0,64991.0,63439.0,1.0,0.02,631.0,0.0
Jaggery,Mumbai,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-453066.0,453066.0,427364.0,1.0,0.03,4349.0,0.0
Jaggery,Others,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-2453236.0,2453236.0,2390877.0,1.0,0.02,23958.0,0.0
Jaggery,Pune,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-253205.0,253205.0,244987.0,1.0,0.03,2447.0,0.0
Millet & Other Atta,Ahmedabad,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-43278.0,43278.0,43329.0,1.0,0.01,433.0,0.0
Millet & Other Atta,Bangalore,6,504.0,402.0,0,target_gap_hit,0.01,4.9e-05,False,-1228918.0,1228858.0,1228379.0,1.0,0.05,12297.0,0.0
Millet & Other Atta,Chandigarh Tricity,4,336.0,276.0,0,target_gap_hit,0.01,0.000577,False,-102079.0,102020.0,102112.0,1.0,0.03,1021.0,0.0
Millet & Other Atta,Chennai,5,420.0,339.0,0,target_gap_hit,0.01,0.000446,False,-175257.0,175179.0,175119.0,1.0,0.03,1754.0,0.0
Millet & Other Atta,Delhi-NCR,6,504.0,402.0,0,target_gap_hit,0.01,4.8e-05,False,-1671670.0,1671589.0,1671130.0,1.0,0.03,16731.0,0.0
Millet & Other Atta,Hyderabad,6,504.0,402.0,0,target_gap_hit,0.01,0.0,False,-780058.0,780058.0,775678.0,1.0,0.03,7806.0,0.0
Millet & Other Atta,Kolkata,6,504.0,402.0,0,target_gap_hit,0.01,4.1e-05,False,-516218.0,516197.0,512541.0,1.0,0.03,5166.0,0.0
Millet & Other Atta,Lucknow,6,504.0,402.0,0,target_gap_hit,0.01,8e-05,False,-140782.0,140771.0,139739.0,1.0,0.03,1409.0,0.0
