cell_id,product_id,city,pricing_action,agree_with_cut
245436_Delhi-NCR,245436,Delhi-NCR,hold,False
245436_Hyderabad,245436,Hyderabad,hold,False
245436_Mumbai,245436,Mumbai,hold,False
245436_Others,245436,Others,hold,False
245436_Pune,245436,Pune,hold,False
532389_Ahmedabad,532389,Ahmedabad,hold,False
532389_Bangalore,532389,Bangalore,cut,False
532393_Bangalore,532393,Bangalore,cut,False
536247_Bangalore,536247,Bangalore,cut,False
537173_Bangalore,537173,Bangalore,cut,False
561937_Bangalore,561937,Bangalore,cut,False
625390_Bangalore,625390,Bangalore,cut,False
532389_Chennai,532389,Chennai,cut,False
532393_Chennai,532393,Chennai,cut,False
532389_Delhi-NCR,532389,Delhi-NCR,hold,False
532393_Delhi-NCR,532393,Delhi-NCR,cut,False
536247_Delhi-NCR,536247,Delhi-NCR,cut,False
537173_Delhi-NCR,537173,Delhi-NCR,cut,False
561937_Delhi-NCR,561937,Delhi-NCR,cut,False
532389_Hyderabad,532389,Hyderabad,hold,False
532393_Hyderabad,532393,Hyderabad,cut,False
536247_Hyderabad,536247,Hyderabad,cut,False
537173_Hyderabad,537173,Hyderabad,cut,False
561937_Hyderabad,561937,Hyderabad,cut,False
625390_Hyderabad,625390,Hyderabad,cut,False
532389_Kolkata,532389,Kolkata,hold,False
536247_Kolkata,536247,Kolkata,cut,False
561937_Kolkata,561937,Kolkata,cut,False
532389_Mumbai,532389,Mumbai,hold,False
532389_Others,532389,Others,hold,False
532393_Others,532393,Others,cut,False
536247_Others,536247,Others,cut,False
537173_Others,537173,Others,cut,False
561937_Others,561937,Others,cut,False
532389_Pune,532389,Pune,cut,False
532393_10x20g_Pune,532393,Pune,cut,True
3583_Ahmedabad,3583,Ahmedabad,raise,False
3583_500g_Bangalore,3583,Bangalore,cut,True
545915_Bangalore,545915,Bangalore,cut,False
3583_500g_Chandigarh Tricity,3583,Chandigarh Tricity,raise,False
3583_Chennai,3583,Chennai,cut,False
545915_Chennai,545915,Chennai,cut,False
3583_Delhi-NCR,3583,Delhi-NCR,raise,False
3583_Hyderabad,3583,Hyderabad,cut,False
545915_450g_Hyderabad,545915,Hyderabad,cut,True
3583_500g_Kolkata,3583,Kolkata,raise,False
3583_Lucknow,3583,Lucknow,raise,False
3583_Mumbai,3583,Mumbai,cut,False
545915_Mumbai,545915,Mumbai,cut,False
3583_Others,3583,Others,raise,False
545915_Others,545915,Others,cut,False
3583_Pune,3583,Pune,cut,False
545915_450g_Pune,545915,Pune,cut,True
5751_Ahmedabad,5751,Ahmedabad,cut,False
3582_Bangalore,3582,Bangalore,cut,False
3796_500g_Bangalore,3796,Bangalore,cut,True
5751_500g_Bangalore,5751,Bangalore,cut,True
16658_500g_Bangalore,16658,Bangalore,cut,True
495083_Bangalore,495083,Bangalore,cut,False
3582_Chandigarh Tricity,3582,Chandigarh Tricity,cut,False
5751_500g_Chandigarh Tricity,5751,Chandigarh Tricity,cut,True
16658_Chandigarh Tricity,16658,Chandigarh Tricity,cut,False
495083_Chandigarh Tricity,495083,Chandigarh Tricity,cut,False
3582_Chennai,3582,Chennai,cut,False
3796_Chennai,3796,Chennai,cut,False
5751_Chennai,5751,Chennai,cut,False
16658_Chennai,16658,Chennai,cut,False
3582_Delhi-NCR,3582,Delhi-NCR,cut,False
3796_500g_Delhi-NCR,3796,Delhi-NCR,cut,True
5751_500g_Delhi-NCR,5751,Delhi-NCR,cut,True
16658_Delhi-NCR,16658,Delhi-NCR,cut,False
495083_Delhi-NCR,495083,Delhi-NCR,cut,False
3582_Hyderabad,3582,Hyderabad,cut,False
3796_Hyderabad,3796,Hyderabad,cut,False
5751_500g_Hyderabad,5751,Hyderabad,cut,True
16658_500g_Hyderabad,16658,Hyderabad,cut,True
